<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01/10/21;000000;339.21;339.94;336.08;338.48;37617680
04/10/21;000000;337.81;349.31;336.22;345.85;59987320
05/10/21;000000;346.79;365;344.9;363.2;86810410
06/10/21;000000;366;375.48;359.35;364.28;95588390
07/10/21;000000;367.69;374;365.88;368.93;49466740
08/10/21;000000;369.5;374.55;368;373.01;31010000
11/10/21;000000;375.05;388.11;375;387.6;66555950
12/10/21;000000;385.9;386.86;376.72;377.79;51365340
13/10/21;000000;378.7;380.91;370.81;378.8;54668150
14/10/21;000000;382.02;383.13;374.57;376.09;36290870
15/10/21;000000;377.5;378.41;370.43;371.82;37276570
18/10/21;000000;369.35;369.91;363.75;364.6;38112280
19/10/21;000000;365.68;373.4;361.5;373.18;40008020
20/10/21;000000;371.83;371.97;367.1;370.16;27515020
21/10/21;000000;368.2;371.14;363.2;364.6;24461840
22/10/21;000000;364.06;370.39;362.37;364.37;26322460
25/10/21;000000;366.19;371.7;361.68;369.99;35623260
26/10/21;000000;369.89;374.63;365.66;372.16;41746810
27/10/21;000000;371;374;366.51;371.36;36305740
28/10/21;000000;370.5;374.92;362.32;365.36;53785930
29/10/21;000000;364.33;364.33;352.68;356.14;53476690
01/11/21;000000;356.14;371.47;356.14;370.96;55120560
02/11/21;000000;370.98;374;367.2;370.7;37697650
03/11/21;000000;370;370.5;365.03;370.13;30833580
05/11/21;000000;366.98;367.56;358.5;360.21;39012570
08/11/21;000000;362.59;363.97;355.6;358.39;39658600
09/11/21;000000;358.41;364.58;355.6;357.44;41687090
10/11/21;000000;356.68;358.8;348;348.65;46528570
11/11/21;000000;350.14;357.89;347.22;356.24;42860130
12/11/21;000000;356.24;356.37;339.68;347.59;100664120
15/11/21;000000;348.67;352.8;342.76;344.39;59812240
16/11/21;000000;345.91;346.47;336.01;337.91;61959550
17/11/21;000000;338;343.57;336.6;339.89;49464380
18/11/21;000000;338.9;343.12;333.5;336.93;47108510
19/11/21;000000;339.37;339.99;325.7;327.56;66943180
22/11/21;000000;326.03;326.39;306.67;309.15;144324090
23/11/21;000000;306.28;327.01;300.1;326.84;144820750
24/11/21;000000;328;329.97;317.35;321.22;77871110
25/11/21;000000;322.37;322.96;316.11;317.29;44048010
26/11/21;000000;307.13;312;303.22;304.42;90384610
29/11/21;000000;311.14;322.15;309.42;316.57;82133140
30/11/21;000000;311;318.58;310.09;315;98128940
01/12/21;000000;321.35;329.44;319.51;324.4;69783520
02/12/21;000000;325.21;329;320.54;326.8;61404320
03/12/21;000000;327.6;328.95;318.4;320.66;43075790
06/12/21;000000;322;324.16;304.18;307.5;99674420
07/12/21;000000;307.5;313.03;300.5;309.79;154149090
08/12/21;000000;310.97;316.88;291.57;296.95;241030570
09/12/21;000000;297.49;304.94;292.5;300.4;133927110
10/12/21;000000;300.41;304.28;294.43;297.44;82043690
13/12/21;000000;298.28;300.99;280.08;280.64;146306320
14/12/21;000000;280.21;286.09;261.5;284.9;176473700
15/12/21;000000;285;287.79;279.44;286.65;87516430
16/12/21;000000;287.75;298.7;286.2;295.89;134776020
17/12/21;000000;295;296.73;291.61;294.9;109764650
20/12/21;000000;293.11;293.11;285.63;288.4;79622500
21/12/21;000000;289.8;293.4;286.76;291.7;64919700
22/12/21;000000;291.83;297.23;289.23;294;63855050
23/12/21;000000;294.68;298.1;291.26;292.8;55531330
24/12/21;000000;293;294.18;289;293.89;37669750
27/12/21;000000;294.79;296;293.37;295.68;35728530
28/12/21;000000;295.84;297.55;294.18;295;37853360
29/12/21;000000;295.05;295.55;291.33;293.51;37668260
30/12/21;000000;293.61;294.89;291.52;293.49;42566850
