<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
18/11/24;000000;249.09;251.94;247.3;248.72;51127080
19/11/24;000000;249.05;249.83;239.62;240.59;75453920
20/11/24;000000;241.8;243.59;234.74;237.05;70236990
21/11/24;000000;237.16;240.94;234;240.47;75052950
22/11/24;000000;240.55;241;234.78;236;45501870
25/11/24;000000;236;237.1;227.25;227.81;76358230
26/11/24;000000;227.81;231.9;221.2;223.16;96738220
27/11/24;000000;223.88;226.47;219.2;226.3;112401690
28/11/24;000000;227.06;229.5;222.48;228.56;67717140
29/11/24;000000;228.48;236.99;227.55;236.49;70247610
02/12/24;000000;237.09;238.7;234.32;235.17;45050170
03/12/24;000000;235.29;235.97;230.26;230.8;45313800
04/12/24;000000;231.05;233.79;224.3;224.55;72374990
05/12/24;000000;224.6;233.75;222.82;233.48;86902200
06/12/24;000000;233.63;238.25;231.52;237.84;81003410
09/12/24;000000;239.27;240.51;236.75;237.29;52314320
10/12/24;000000;238;238.01;230.65;230.82;58548350
11/12/24;000000;230.5;234.39;229.22;234.19;64817940
12/12/24;000000;234;235.95;228.52;229.02;59118900
13/12/24;000000;228.89;231.33;227.85;228.7;46091280
16/12/24;000000;228.6;229.05;224.38;225.53;54519260
17/12/24;000000;225.58;227.49;223.72;226.5;45827690
18/12/24;000000;226.72;230.8;224.33;230.15;58002020
19/12/24;000000;230.17;234.99;227.71;229;123831990
20/12/24;000000;229.32;258.98;228.03;257.6;235163880
23/12/24;000000;260;270;256.51;264.9;162588610
24/12/24;000000;264.93;266.79;261.02;264.34;83747800
25/12/24;000000;263.64;273;260.31;271.69;125501440
26/12/24;000000;272.02;274.25;269.1;269.56;75523970
27/12/24;000000;269.69;272.16;268.57;271.2;52121690
28/12/24;000000;271.37;273.99;270.4;272.83;39560080
30/12/24;000000;273.99;279.49;273.7;279.43;52353840
03/01/25;000000;279.99;280.41;271.8;272.25;42928720
06/01/25;000000;270.88;274.41;270.07;274.37;28260720
08/01/25;000000;273.39;277.87;273.09;277;26185200
09/01/25;000000;276.89;278.77;270.73;271.8;52866520
10/01/25;000000;272.32;279.53;270.27;278.77;71104590
13/01/25;000000;280.65;284.75;278.6;279.8;66252420
14/01/25;000000;279.82;282.36;277.41;279.85;45983040
15/01/25;000000;280;282.82;276.06;282.77;52822640
16/01/25;000000;283.72;284;281.18;281.8;49321630
17/01/25;000000;282.2;284.64;280.19;283.53;51815780
20/01/25;000000;285.11;286.23;277.61;278.19;67543880
21/01/25;000000;279.39;281.85;276.32;281.85;40374630
22/01/25;000000;281.94;284;280.2;280.36;47032130
23/01/25;000000;280.79;280.79;277.35;280.49;38509890
24/01/25;000000;281;282.75;279.25;280.74;32083360
27/01/25;000000;280.72;280.97;275.01;275.23;39028630
28/01/25;000000;275.25;279.26;274.01;278.35;39024990
29/01/25;000000;277.95;282.18;277.12;280.36;39150990
30/01/25;000000;280.37;282.5;280.36;281.97;28018670
31/01/25;000000;281.83;284.11;280.27;280.73;40327370
03/02/25;000000;280.21;280.35;278;279.55;30335260
04/02/25;000000;279.55;281.41;275.7;277.4;23982810
05/02/25;000000;277.3;283.89;275.34;282.88;43063150
06/02/25;000000;283.89;288.92;282.09;287.15;69290140
07/02/25;000000;287.66;288.9;285.08;285.81;27610110
10/02/25;000000;287.64;294.55;287.61;289.94;72903060
11/02/25;000000;290.42;294.1;289.3;294.06;55991750
12/02/25;000000;294.3;314.4;291.3;314;185802940
13/02/25;000000;315.61;318.72;307.2;310.1;116571990
14/02/25;000000;315.59;317.84;303.06;309.87;126690930
17/02/25;000000;314;319.55;312.31;319.5;84607980
18/02/25;000000;319.9;320.92;310.21;312.95;84855800
19/02/25;000000;313.53;317.25;311.01;315.91;50473290
20/02/25;000000;315.91;317.96;314.02;315.05;33153140
21/02/25;000000;315.48;316.69;312;314.74;32724140
24/02/25;000000;314.93;316.4;313;316.03;35706150
25/02/25;000000;316.03;318.59;315.62;316.97;38812180
26/02/25;000000;317;317.45;308.31;310.22;73822090
27/02/25;000000;310.22;312.45;305.43;307.1;60919290
28/02/25;000000;306.01;310.4;304.05;309.63;65631160
01/03/25;000000;309.84;310.94;309.47;310.11;1138430
02/03/25;000000;309.5;309.63;306.8;307.44;1885110
03/03/25;000000;306.45;307.92;300.2;305.5;66383120
04/03/25;000000;306.43;318.5;306.14;316.4;88099480
05/03/25;000000;316.5;318.3;313;313.56;57710050
06/03/25;000000;313.63;317.43;313.57;315.18;31957120
07/03/25;000000;315.3;321.87;310.69;316.92;110870150
10/03/25;000000;317;320.63;316.37;317.57;39294670
11/03/25;000000;317.78;321.98;315.57;319.69;64926270
12/03/25;000000;319.8;320.9;315.8;318.39;41920410
13/03/25;000000;318.39;320.5;312.5;316.37;78546460
14/03/25;000000;315.91;321.1;314.12;320.51;51691040
15/03/25;000000;320.69;321.3;319.82;320.74;1455280
16/03/25;000000;320.52;323.5;320.52;323.44;5680630
17/03/25;000000;323.45;326.97;322.62;326.02;58625040
18/03/25;000000;326.19;329.77;323.82;324.06;72941970
19/03/25;000000;324.49;326.88;322.3;325.3;39792530
20/03/25;000000;325.41;326;321.8;324.05;42352140
21/03/25;000000;324;326.08;322.15;323.26;28693860
24/03/25;000000;323.26;323.94;318.51;319.47;33031030
25/03/25;000000;320;322.2;314.65;319.8;48324870
26/03/25;000000;320;320.88;315.01;315.23;20575860
27/03/25;000000;315.8;317.16;311.95;311.96;36144680
28/03/25;000000;311.95;313.65;305.65;308.04;51856020
29/03/25;000000;307.8;308.3;302.64;303.89;5739820
30/03/25;000000;303.2;305.3;298.8;299.22;9158830
31/03/25;000000;300.07;310.88;300;309.72;48301070
01/04/25;000000;310.01;312.9;302.7;303.24;46073820
